Patched jax.experimental.layout.DeviceLocalLayout -> <class 'jax._src.layout.Layout'>
Initial shape from: /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/cont3_lambda_100000_10_100000_100_1/checkpoint_10000
Use pretrained data as initial condition...
[biconcave] pretrain=checkpoint lambdas=(100000,10,100000,100,1,1) -> /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/test_lambda_100000_10_100000_100_1_1
[make_train_step] mode = curv+lapH+forc
  use_curv = True
  use_lapH = True
  use_forc = True
  0%|          | 0/10000 [00:00<?, ?it/s]
step=1 loss=379546752.0 ld=0.017243053764104843 lp=248.56051635742188 ls=0.00024238228797912598 lc=13.740915298461914 ll=259.2055358886719 lf=379540896.0 grad_norm=37841833984.0
step=42 loss=1.7309502979304325e+18 ld=0.04270053282380104 lp=264.5585021972656 ls=0.0030808926094323397 lc=25.772497177124023 ll=3977.1650390625 lf=1.7309502979304325e+18 grad_norm=inf
step=43 loss=1.6255028722191565e+18 ld=0.04261245205998421 lp=264.56182861328125 ls=0.003078409470617771 lc=25.81076431274414 ll=3996.0966796875 lf=1.6255028722191565e+18 grad_norm=inf
step=44 loss=1.5350892064334152e+18 ld=0.042532503604888916 lp=264.5717468261719 ls=0.003076232736930251 lc=25.84576988220215 ll=4010.377197265625 lf=1.5350892064334152e+18 grad_norm=inf
step=45 loss=1.453465586355929e+18 ld=0.042461566627025604 lp=264.5911865234375 ls=0.003074717242270708 lc=25.87809944152832 ll=4027.92822265625 lf=1.453465586355929e+18 grad_norm=inf
step=46 loss=1.3835358221956547e+18 ld=0.04239945113658905 lp=264.6112365722656 ls=0.003073342377319932 lc=25.911287307739258 ll=4045.2431640625 lf=1.3835358221956547e+18 grad_norm=inf
step=47 loss=1.3188422072847565e+18 ld=0.04234115034341812 lp=264.6501159667969 ls=0.0030716690234839916 lc=25.940128326416016 ll=4062.106689453125 lf=1.3188422072847565e+18 grad_norm=inf
step=48 loss=1.2610795013584978e+18 ld=0.04229389503598213 lp=264.6914978027344 ls=0.00307104061357677 lc=25.9686336517334 ll=4076.265380859375 lf=1.2610795013584978e+18 grad_norm=inf
step=49 loss=1.2101516345884017e+18 ld=0.042246732860803604 lp=264.7427673339844 ls=0.003070203587412834 lc=25.996267318725586 ll=4090.396728515625 lf=1.2101516345884017e+18 grad_norm=inf
step=50 loss=1.1647866094600847e+18 ld=0.04220539703965187 lp=264.78973388671875 ls=0.0030692373402416706 lc=26.021160125732422 ll=4100.22607421875 lf=1.1647866094600847e+18 grad_norm=inf
step=51 loss=1.1210753872588964e+18 ld=0.04216493293642998 lp=264.8328857421875 ls=0.0030679472256451845 lc=26.04598045349121 ll=4115.4189453125 lf=1.1210753872588964e+18 grad_norm=inf
